week_start_date,country,channel,units_sold,revenue_eur,promo_active
2025-03-31,Denmark,Retail/Grocery,1295,1775.84,False
2025-03-31,Denmark,Gym & Office,538,725.61,False
2025-03-31,Sweden,DTC Online,1116,1464.37,False
2025-03-31,Sweden,Retail/Grocery,1786,2406.63,False
2025-03-31,Sweden,Gym & Office,680,907.07,True
2025-04-07,Netherlands,DTC Online,1536,2026.79,False
2025-04-07,Netherlands,Retail/Grocery,3052,4046.04,False
2025-04-07,Netherlands,Gym & Office,759,1002.86,False
2025-04-07,Denmark,DTC Online,1101,1493.46,False
2025-04-07,Denmark,Retail/Grocery,1552,2130.5,False
2025-04-07,Denmark,Gym & Office,653,858.72,False
2025-04-07,Sweden,DTC Online,1369,1851.35,False
2025-04-07,Sweden,Retail/Grocery,2116,2800.34,False
2025-04-07,Sweden,Gym & Office,756,1034.4,False
2025-04-14,Netherlands,DTC Online,1762,2428.84,False
2025-04-14,Netherlands,Retail/Grocery,3122,4135.07,False
2025-04-14,Netherlands,Gym & Office,774,1065.89,False
2025-04-14,Denmark,DTC Online,1134,1532.21,False
2025-04-14,Denmark,Retail/Grocery,1538,2053.16,False
2025-04-14,Denmark,Gym & Office,658,888.08,False
2025-04-14,Sweden,DTC Online,1276,1745.56,False
2025-04-14,Sweden,Retail/Grocery,1979,2653.18,False
2025-04-14,Sweden,Gym & Office,857,1169.93,False
2025-04-21,Netherlands,DTC Online,1587,2130.53,False
2025-04-21,Netherlands,Retail/Grocery,3008,4147.73,False
2025-04-21,Netherlands,Gym & Office,870,1205.44,False
2025-04-21,Denmark,DTC Online,1064,1451.41,False
2025-04-21,Denmark,Retail/Grocery,1460,1973.68,False
2025-04-21,Denmark,Gym & Office,620,831.72,False
2025-04-21,Sweden,DTC Online,1429,1957.1,False
2025-04-21,Sweden,Retail/Grocery,1886,2525.28,False
2025-04-21,Sweden,Gym & Office,790,1088.51,False
2025-04-28,Netherlands,DTC Online,1598,2147.55,False
2025-04-28,Netherlands,Retail/Grocery,3190,4375.22,False
2025-04-28,Netherlands,Gym & Office,869,1194.34,False
2025-04-28,Denmark,DTC Online,1134,1546.21,False
2025-04-28,Denmark,Retail/Grocery,1609,2173.64,False
2025-04-28,Denmark,Gym & Office,659,869.48,False
2025-04-28,Sweden,DTC Online,1278,1771.1,True
2025-04-28,Sweden,Retail/Grocery,2079,2862.27,False
2025-04-28,Sweden,Gym & Office,771,1020.81,False
2025-05-05,Netherlands,DTC Online,1965,2621.36,False
2025-05-05,Netherlands,Retail/Grocery,3859,5260.0,False
2025-05-05,Netherlands,Gym & Office,1009,1359.37,False
2025-05-05,Denmark,DTC Online,1405,1897.3,False
2025-05-05,Denmark,Retail/Grocery,1896,2565.82,True
2025-05-05,Denmark,Gym & Office,837,1163.22,False
2025-05-05,Sweden,DTC Online,1518,2043.17,False
2025-05-05,Sweden,Retail/Grocery,2403,3153.73,False
2025-05-05,Sweden,Gym & Office,1036,1422.04,False
2025-05-12,Netherlands,DTC Online,1923,2585.25,False
2025-05-12,Netherlands,Retail/Grocery,3659,5017.9,False
2025-05-12,Netherlands,Gym & Office,1014,1373.32,False
2025-05-12,Denmark,DTC Online,1406,1905.19,False
2025-05-12,Denmark,Retail/Grocery,1688,2246.45,False
2025-05-12,Denmark,Gym & Office,792,1080.52,False
2025-05-12,Sweden,DTC Online,1569,2062.41,False
2025-05-12,Sweden,Retail/Grocery,2293,3070.74,False
2025-05-12,Sweden,Gym & Office,1030,1412.63,False
2025-05-19,Netherlands,DTC Online,2004,2693.74,False
2025-05-19,Netherlands,Retail/Grocery,3693,4852.87,False
2025-05-19,Netherlands,Gym & Office,978,1305.41,False
2025-05-19,Denmark,DTC Online,1464,2020.15,False
2025-05-19,Denmark,Retail/Grocery,1730,2340.88,True
2025-05-19,Denmark,Gym & Office,832,1117.98,False
2025-05-19,Sweden,DTC Online,1614,2116.2,False
2025-05-19,Sweden,Retail/Grocery,2264,3022.75,False
2025-05-19,Sweden,Gym & Office,992,1306.88,False
2025-05-26,Netherlands,DTC Online,2117,2807.52,False
2025-05-26,Netherlands,Retail/Grocery,3954,5391.51,False
2025-05-26,Netherlands,Gym & Office,994,1379.7,False
2025-05-26,Denmark,DTC Online,1460,2027.07,True
2025-05-26,Denmark,Retail/Grocery,1940,2574.07,False
2025-05-26,Denmark,Gym & Office,790,1071.2,False
2025-05-26,Sweden,DTC Online,1676,2324.77,False
2025-05-26,Sweden,Retail/Grocery,2496,3388.17,False
2025-05-26,Sweden,Gym & Office,1038,1403.91,False
2025-06-02,Netherlands,DTC Online,2254,2965.61,False
2025-06-02,Netherlands,Retail/Grocery,4239,5653.95,False
2025-06-02,Netherlands,Gym & Office,1121,1505.57,False
2025-06-02,Denmark,DTC Online,1611,2197.24,False
2025-06-02,Denmark,Retail/Grocery,2192,2981.9,False
2025-06-02,Denmark,Gym & Office,872,1177.14,False
2025-06-02,Sweden,DTC Online,1944,2693.39,False
2025-06-02,Sweden,Retail/Grocery,2834,3896.82,False
2025-06-02,Sweden,Gym & Office,1230,1703.8,False
2025-06-09,Netherlands,DTC Online,2160,2863.63,False
2025-06-09,Netherlands,Retail/Grocery,4082,5592.18,False
2025-06-09,Netherlands,Gym & Office,1226,1646.19,False
2025-06-09,Denmark,DTC Online,1722,2343.38,False
2025-06-09,Denmark,Retail/Grocery,2000,2665.5,False
2025-06-09,Denmark,Gym & Office,951,1263.52,False
2025-06-09,Sweden,DTC Online,1755,2302.11,False
2025-06-09,Sweden,Retail/Grocery,2703,3645.85,False
2025-06-09,Sweden,Gym & Office,1147,1586.14,False
2025-06-16,Netherlands,DTC Online,2251,2953.0,False
2025-06-16,Netherlands,Retail/Grocery,4131,5593.82,False
2025-06-16,Netherlands,Gym & Office,1082,1480.2,False
2025-06-16,Denmark,DTC Online,1509,2085.61,False
2025-06-16,Denmark,Retail/Grocery,2021,2656.91,False
2025-06-16,Denmark,Gym & Office,987,1346.17,False
2025-06-16,Sweden,DTC Online,1838,2531.89,False
2025-06-16,Sweden,Retail/Grocery,2685,3640.19,False
2025-06-16,Sweden,Gym & Office,1097,1495.54,False
2025-06-23,Netherlands,DTC Online,2452,3315.22,False
2025-06-23,Netherlands,Retail/Grocery,4024,5464.94,False
2025-06-23,Netherlands,Gym & Office,1139,1568.31,False
2025-06-23,Denmark,DTC Online,1714,2347.77,False
2025-06-23,Denmark,Retail/Grocery,2006,2644.21,False
2025-06-23,Denmark,Gym & Office,900,1208.32,False
2025-06-23,Sweden,DTC Online,1746,2361.83,False
2025-06-23,Sweden,Retail/Grocery,2644,3579.2,False
2025-06-23,Sweden,Gym & Office,1127,1501.16,False
2025-06-30,Netherlands,DTC Online,2228,3003.33,False
2025-06-30,Netherlands,Retail/Grocery,4197,5715.38,False
2025-06-30,Netherlands,Gym & Office,1093,1496.75,False
2025-06-30,Denmark,DTC Online,1526,2111.7,False
2025-06-30,Denmark,Retail/Grocery,2029,2720.2,False
2025-06-30,Denmark,Gym & Office,969,1339.79,False
2025-06-30,Sweden,DTC Online,1900,2524.43,False
2025-06-30,Sweden,Retail/Grocery,2611,3622.29,False
2025-06-30,Sweden,Gym & Office,1260,1680.68,False
2025-07-07,Netherlands,DTC Online,2585,3447.33,False
2025-07-07,Netherlands,Retail/Grocery,4304,5789.08,False
2025-07-07,Netherlands,Gym & Office,1303,1774.29,False
2025-07-07,Denmark,DTC Online,1664,2189.8,False
2025-07-07,Denmark,Retail/Grocery,2217,3035.5,False
2025-07-07,Denmark,Gym & Office,960,1289.96,False
2025-07-07,Sweden,DTC Online,1859,2458.5,False
2025-07-07,Sweden,Retail/Grocery,2773,3725.78,False
2025-07-07,Sweden,Gym & Office,1251,1671.3,False
2025-07-14,Netherlands,DTC Online,2601,3541.13,False
2025-07-14,Netherlands,Retail/Grocery,4535,6174.08,True
2025-07-14,Netherlands,Gym & Office,1188,1585.09,False
2025-07-14,Denmark,DTC Online,1628,2164.78,False
2025-07-14,Denmark,Retail/Grocery,2328,3170.93,False
2025-07-14,Denmark,Gym & Office,1007,1352.13,False
2025-07-14,Sweden,DTC Online,1982,2735.66,False
2025-07-14,Sweden,Retail/Grocery,2839,3854.04,False
2025-07-14,Sweden,Gym & Office,1205,1586.19,False
2025-07-21,Netherlands,DTC Online,2467,3305.94,False
2025-07-21,Netherlands,Retail/Grocery,4654,6102.23,True
2025-07-21,Netherlands,Gym & Office,1267,1721.94,False
2025-07-21,Denmark,DTC Online,1631,2196.89,False
2025-07-21,Denmark,Retail/Grocery,2371,3114.39,False
2025-07-21,Denmark,Gym & Office,1014,1340.09,False
2025-07-21,Sweden,DTC Online,1902,2578.06,True
2025-07-21,Sweden,Retail/Grocery,3025,4150.73,False
2025-07-21,Sweden,Gym & Office,1321,1782.72,False
2025-07-28,Netherlands,DTC Online,3053,4231.86,False
2025-07-28,Netherlands,Retail/Grocery,5657,7749.87,False
2025-07-28,Netherlands,Gym & Office,1585,2102.08,False
2025-07-28,Denmark,DTC Online,2345,3208.81,False
2025-07-28,Denmark,Retail/Grocery,2720,3736.44,True
2025-07-28,Denmark,Gym & Office,1371,1821.48,False
2025-07-28,Sweden,DTC Online,2461,3338.88,False
2025-07-28,Sweden,Retail/Grocery,3592,4840.15,False
2025-07-28,Sweden,Gym & Office,1724,2313.09,False
2025-08-04,Netherlands,DTC Online,2310,3104.15,False
2025-08-04,Netherlands,Retail/Grocery,4021,5446.91,True
2025-08-04,Netherlands,Gym & Office,1258,1695.34,False
2025-08-04,Denmark,DTC Online,1665,2270.78,False
2025-08-04,Denmark,Retail/Grocery,2176,2992.21,True
2025-08-04,Denmark,Gym & Office,936,1254.57,False
2025-08-04,Sweden,DTC Online,1935,2554.61,False
2025-08-04,Sweden,Retail/Grocery,2617,3464.98,False
2025-08-04,Sweden,Gym & Office,1176,1572.28,False
2025-08-11,Netherlands,DTC Online,2211,3022.5,False
2025-08-11,Netherlands,Retail/Grocery,4173,5570.43,False
2025-08-11,Netherlands,Gym & Office,1183,1642.41,False
2025-08-11,Denmark,DTC Online,1609,2163.04,False
2025-08-11,Denmark,Retail/Grocery,2036,2802.95,False
2025-08-11,Denmark,Gym & Office,943,1268.14,False
2025-08-11,Sweden,DTC Online,1965,2651.36,False
2025-08-11,Sweden,Retail/Grocery,2866,3967.26,False
2025-08-11,Sweden,Gym & Office,1172,1552.67,True
2025-08-18,Netherlands,DTC Online,2259,3044.21,False
2025-08-18,Netherlands,Retail/Grocery,4340,5724.02,False
2025-08-18,Netherlands,Gym & Office,1189,1599.52,False
2025-08-18,Denmark,DTC Online,1671,2250.13,False
2025-08-18,Denmark,Retail/Grocery,2203,2911.25,False
2025-08-18,Denmark,Gym & Office,901,1200.59,False
2025-08-18,Sweden,DTC Online,1980,2724.73,False
2025-08-18,Sweden,Retail/Grocery,2930,3887.24,False
2025-08-18,Sweden,Gym & Office,1096,1503.29,False
2025-08-25,Netherlands,DTC Online,2554,3395.39,False
2025-08-25,Netherlands,Retail/Grocery,4102,5480.77,False
2025-08-25,Netherlands,Gym & Office,1289,1700.68,False
2025-08-25,Denmark,DTC Online,1779,2344.89,False
2025-08-25,Denmark,Retail/Grocery,1979,2665.28,False
2025-08-25,Denmark,Gym & Office,948,1289.66,False
2025-08-25,Sweden,DTC Online,1963,2622.93,True
2025-08-25,Sweden,Retail/Grocery,2928,3941.68,False
2025-08-25,Sweden,Gym & Office,1292,1786.78,False
2025-09-01,Netherlands,DTC Online,1839,2536.76,False
2025-09-01,Netherlands,Retail/Grocery,3460,4754.56,False
2025-09-01,Netherlands,Gym & Office,985,1337.91,False
2025-09-01,Denmark,DTC Online,1306,1735.6,False
2025-09-01,Denmark,Retail/Grocery,1720,2255.2,False
2025-09-01,Denmark,Gym & Office,763,1024.02,False
2025-09-01,Sweden,DTC Online,1678,2218.29,False
2025-09-01,Sweden,Retail/Grocery,2459,3366.63,False
2025-09-01,Sweden,Gym & Office,1041,1414.08,False
2025-09-08,Netherlands,DTC Online,1839,2462.91,False
2025-09-08,Netherlands,Retail/Grocery,3572,4789.82,False
2025-09-08,Netherlands,Gym & Office,999,1315.49,False
2025-09-08,Denmark,DTC Online,1338,1772.31,False
2025-09-08,Denmark,Retail/Grocery,1643,2219.83,False
2025-09-08,Denmark,Gym & Office,803,1093.65,False
2025-09-08,Sweden,DTC Online,1681,2273.06,False
2025-09-08,Sweden,Retail/Grocery,2202,2967.03,True
2025-09-08,Sweden,Gym & Office,1030,1373.85,False
2025-09-15,Netherlands,DTC Online,2035,2714.35,False
2025-09-15,Netherlands,Retail/Grocery,3582,4855.59,False
2025-09-15,Netherlands,Gym & Office,1054,1424.05,False
2025-09-15,Denmark,DTC Online,1356,1826.72,False
2025-09-15,Denmark,Retail/Grocery,1856,2483.87,False
2025-09-15,Denmark,Gym & Office,819,1073.56,False
2025-09-15,Sweden,DTC Online,1572,2158.64,False
2025-09-15,Sweden,Retail/Grocery,2199,2953.73,False
2025-09-15,Sweden,Gym & Office,959,1312.06,False
2025-09-22,Netherlands,DTC Online,1972,2711.37,False
2025-09-22,Netherlands,Retail/Grocery,3887,5345.05,False
2025-09-22,Netherlands,Gym & Office,927,1287.66,False
2025-09-22,Denmark,DTC Online,1421,1910.73,True
2025-09-22,Denmark,Retail/Grocery,1747,2289.58,False
2025-09-22,Denmark,Gym & Office,785,1053.72,False
2025-09-22,Sweden,DTC Online,1652,2260.43,False
2025-09-22,Sweden,Retail/Grocery,2504,3404.08,False
2025-09-22,Sweden,Gym & Office,1067,1455.58,False
2025-09-29,Netherlands,DTC Online,1867,2465.27,False
2025-09-29,Netherlands,Retail/Grocery,3849,5257.27,False
2025-09-29,Netherlands,Gym & Office,924,1245.99,False
2025-09-29,Denmark,DTC Online,1332,1835.11,False
2025-09-29,Denmark,Retail/Grocery,1798,2367.02,False
2025-09-29,Denmark,Gym & Office,750,1007.75,False
2025-09-29,Sweden,DTC Online,1702,2330.62,False
2025-09-29,Sweden,Retail/Grocery,2392,3136.13,False
2025-09-29,Sweden,Gym & Office,958,1277.38,False
2025-10-06,Netherlands,DTC Online,1709,2284.15,False
2025-10-06,Netherlands,Retail/Grocery,3365,4524.16,False
2025-10-06,Netherlands,Gym & Office,869,1178.69,False
2025-10-06,Denmark,DTC Online,1306,1714.12,False
2025-10-06,Denmark,Retail/Grocery,1558,2131.65,False
2025-10-06,Denmark,Gym & Office,736,1015.52,False
2025-10-06,Sweden,DTC Online,1293,1695.18,False
2025-10-06,Sweden,Retail/Grocery,2104,2800.84,False
2025-10-06,Sweden,Gym & Office,924,1218.73,False
2025-10-13,Netherlands,DTC Online,1789,2407.66,False
2025-10-13,Netherlands,Retail/Grocery,3032,4148.76,False
2025-10-13,Netherlands,Gym & Office,866,1169.64,False
2025-10-13,Denmark,DTC Online,1252,1732.97,False
2025-10-13,Denmark,Retail/Grocery,1617,2178.82,False
2025-10-13,Denmark,Gym & Office,720,965.61,False
2025-10-13,Sweden,DTC Online,1497,2039.44,False
2025-10-13,Sweden,Retail/Grocery,2089,2899.84,False
2025-10-13,Sweden,Gym & Office,833,1137.42,False
2025-10-20,Netherlands,DTC Online,1753,2320.16,False
2025-10-20,Netherlands,Retail/Grocery,3219,4422.17,False
2025-10-20,Netherlands,Gym & Office,878,1166.43,False
2025-10-20,Denmark,DTC Online,1320,1766.9,False
2025-10-20,Denmark,Retail/Grocery,1617,2140.35,False
2025-10-20,Denmark,Gym & Office,699,961.02,False
2025-10-20,Sweden,DTC Online,1320,1752.78,False
2025-10-20,Sweden,Retail/Grocery,2105,2925.92,False
2025-10-20,Sweden,Gym & Office,917,1258.01,False
2025-10-27,Netherlands,DTC Online,1880,2591.82,False
2025-10-27,Netherlands,Retail/Grocery,3295,4342.6,True
2025-10-27,Netherlands,Gym & Office,947,1301.38,False
2025-10-27,Denmark,DTC Online,1280,1777.21,False
2025-10-27,Denmark,Retail/Grocery,1608,2217.48,False
2025-10-27,Denmark,Gym & Office,710,958.92,False
2025-10-27,Sweden,DTC Online,1328,1761.11,False
2025-10-27,Sweden,Retail/Grocery,2199,3005.73,False
2025-10-27,Sweden,Gym & Office,884,1219.93,False
2025-11-03,Netherlands,DTC Online,1584,2179.35,False
2025-11-03,Netherlands,Retail/Grocery,2827,3923.99,False
2025-11-03,Netherlands,Gym & Office,746,1027.33,False
2025-11-03,Denmark,DTC Online,1088,1439.83,False
2025-11-03,Denmark,Retail/Grocery,1498,2011.99,False
2025-11-03,Denmark,Gym & Office,617,845.6,False
2025-11-03,Sweden,DTC Online,1355,1789.52,False
2025-11-03,Sweden,Retail/Grocery,2073,2865.39,False
2025-11-03,Sweden,Gym & Office,812,1108.18,False
2025-11-10,Netherlands,DTC Online,1613,2212.85,False
2025-11-10,Netherlands,Retail/Grocery,2994,3937.52,False
2025-11-10,Netherlands,Gym & Office,801,1099.02,False
2025-11-10,Denmark,DTC Online,1113,1460.82,False
2025-11-10,Denmark,Retail/Grocery,1375,1864.55,False
2025-11-10,Denmark,Gym & Office,697,957.83,False
2025-11-10,Sweden,DTC Online,1401,1882.19,False
2025-11-10,Sweden,Retail/Grocery,2017,2783.98,False
2025-11-10,Sweden,Gym & Office,790,1056.53,False
2025-11-17,Netherlands,DTC Online,1742,2367.28,False
2025-11-17,Netherlands,Retail/Grocery,2956,4025.05,False
2025-11-17,Netherlands,Gym & Office,835,1135.24,False
2025-11-17,Denmark,DTC Online,1111,1527.91,False
2025-11-17,Denmark,Retail/Grocery,1529,2111.33,False
2025-11-17,Denmark,Gym & Office,655,878.41,False
2025-11-17,Sweden,DTC Online,1389,1877.45,False
2025-11-17,Sweden,Retail/Grocery,1875,2533.02,False
2025-11-17,Sweden,Gym & Office,798,1086.07,True
2025-11-24,Netherlands,DTC Online,1749,2366.81,False
2025-11-24,Netherlands,Retail/Grocery,3179,4241.17,False
2025-11-24,Netherlands,Gym & Office,824,1127.88,False
2025-11-24,Denmark,DTC Online,1101,1487.02,False
2025-11-24,Denmark,Retail/Grocery,1533,2124.35,False
2025-11-24,Denmark,Gym & Office,662,867.17,False
2025-11-24,Sweden,DTC Online,1261,1727.45,False
2025-11-24,Sweden,Retail/Grocery,2043,2830.46,False
2025-11-24,Sweden,Gym & Office,869,1154.42,False
2025-12-01,Netherlands,DTC Online,1741,2394.78,False
2025-12-01,Netherlands,Retail/Grocery,2930,3926.47,False
2025-12-01,Netherlands,Gym & Office,794,1072.96,False
2025-12-01,Denmark,DTC Online,1232,1658.64,False
2025-12-01,Denmark,Retail/Grocery,1498,2011.63,False
2025-12-01,Denmark,Gym & Office,666,879.14,False
2025-12-01,Sweden,DTC Online,1265,1725.87,False
2025-12-01,Sweden,Retail/Grocery,2054,2819.29,False
2025-12-01,Sweden,Gym & Office,859,1169.14,False
2025-12-08,Netherlands,DTC Online,1757,2435.68,False
2025-12-08,Netherlands,Retail/Grocery,3084,4079.18,False
2025-12-08,Netherlands,Gym & Office,850,1144.59,False
2025-12-08,Denmark,DTC Online,1188,1606.6,False
2025-12-08,Denmark,Retail/Grocery,1514,1986.58,False
2025-12-08,Denmark,Gym & Office,684,946.76,False
2025-12-08,Sweden,DTC Online,1441,1899.87,False
2025-12-08,Sweden,Retail/Grocery,1977,2672.6,False
2025-12-08,Sweden,Gym & Office,826,1106.7,False
2025-12-15,Netherlands,DTC Online,1585,2093.9,False
2025-12-15,Netherlands,Retail/Grocery,3104,4300.23,False
2025-12-15,Netherlands,Gym & Office,828,1096.54,False
2025-12-15,Denmark,DTC Online,1097,1485.17,True
2025-12-15,Denmark,Retail/Grocery,1421,1916.18,False
2025-12-15,Denmark,Gym & Office,676,903.72,False
2025-12-15,Sweden,DTC Online,1445,1989.81,False
2025-12-15,Sweden,Retail/Grocery,1938,2637.72,False
2025-12-15,Sweden,Gym & Office,880,1162.98,False
2025-12-22,Netherlands,DTC Online,1611,2191.13,False
2025-12-22,Netherlands,Retail/Grocery,3103,4289.65,False
2025-12-22,Netherlands,Gym & Office,799,1089.68,False
2025-12-22,Denmark,DTC Online,1156,1522.07,False
2025-12-22,Denmark,Retail/Grocery,1424,1937.41,False
2025-12-22,Denmark,Gym & Office,664,904.21,False
2025-12-22,Sweden,DTC Online,1288,1786.29,False
2025-12-22,Sweden,Retail/Grocery,2154,2987.69,False
2025-12-22,Sweden,Gym & Office,896,1209.79,True
2025-12-29,Netherlands,DTC Online,1777,2403.54,False
2025-12-29,Netherlands,Retail/Grocery,3063,4062.06,False
2025-12-29,Netherlands,Gym & Office,914,1239.79,False
2025-12-29,Denmark,DTC Online,1212,1618.57,False
2025-12-29,Denmark,Retail/Grocery,1548,2144.2,False
2025-12-29,Denmark,Gym & Office,654,857.69,False
2025-12-29,Sweden,DTC Online,1361,1792.26,False
2025-12-29,Sweden,Retail/Grocery,2094,2790.49,False
2025-12-29,Sweden,Gym & Office,904,1195.08,False
2026-01-05,Netherlands,DTC Online,1665,2188.26,False
2026-01-05,Netherlands,Retail/Grocery,2816,3850.25,False
2026-01-05,Netherlands,Gym & Office,757,1000.03,False
2026-01-05,Denmark,DTC Online,1082,1499.4,False
2026-01-05,Denmark,Retail/Grocery,1343,1784.73,False
2026-01-05,Denmark,Gym & Office,616,832.03,False
2026-01-05,Sweden,DTC Online,1388,1847.86,False
2026-01-05,Sweden,Retail/Grocery,1959,2575.7,True
